mineral,Vac,Al,B,Ca,Cr3+,Cr2+,Fe2+,Fe3+,H,K,Li,Mg,Mn2+,Mn3+,Na,Ni,O,Sc,Si,Ti4+,Ti3+,V,Zn,sum,a,b,c,beta,V,reference
Diopside,0,0.121,0,0.828,0.023,0,0.041,0.031,0,0,0,0.89,0.001,0,0.102,0,6,0,1.962,0.002,0,0,0,10,9.702,8.878,5.252,106.2,434.415,European Journal of Mineralogy 7 (1995) 141-149
Diopside,0,0.323,0,0.661,0.005,0,0.17,0.036,0,0,0,0.771,0.001,0,0.153,0,6,0,1.851,0.029,0,0,0,10,9.7,8.858,5.272,106.57,434.172,European Journal of Mineralogy 1 (1989) 105-121
Aegirine,0,0,0,0.289,0,0,0.289,0.711,0,0,0,0,0,0,0.711,0,6,0,2,0,0,0,0,10,9.6993,8.8579,5.2813,106.637,434.75,American Mineralogist 91 (2006) 1271-1292
Augite,0,0.33,0,0.61,0,0,0.11,0.1,0,0,0,0.9,0,0,0.09,0,6,0,1.83,0.02,0,0,0,9.99,9.699,8.844,5.272,106.97,432.531,Mineralogical Society of America Special Paper 2 (1969) 31-50
Diopside,0,0.255,0,0.645,0.044,0,0.102,0.013,0,0,0,0.957,0.002,0,0.094,0,6,0,1.883,0.008,0,0,0,10,9.699,8.861,5.267,106.87,433.181,Physics and Chemistry of Minerals 19 (1992) 213-219
Aegirine,0,0,0,0.25,0,0,0.25,0.75,0,0,0,0,0,0,0.75,0,6,0,2,0,0,0,0,10,9.6977,8.8519,5.2861,106.765,434.488,European Journal of Mineralogy 12 (2000) 105-120
Diopside,0,1,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,6,0,1.5,0,0,0,0,10,9.697,8.85,5.306,106.39,436.849,European Journal of Mineralogy 8 (1996) 273-279
Hedenbergite,0,0.413,0,0.637,0.004,0,0.201,0.067,0,0,0,0.722,0.004,0,0.139,0,6,0,1.778,0.035,0,0,0,10,9.696,8.839,5.276,106.64,433.233,European Journal of Mineralogy 1 (1989) 105-121
Aegirine,0,0,0,0.249,0,0,0.249,0.751,0,0,0,0,0,0,0.751,0,6,0,2,0,0,0,0,10,9.6953,8.8491,5.2856,106.778,434.172,American Mineralogist 91 (2006) 1271-1292
Diopside,0,0.42,0,0.646,0,0,0.221,0.05,0,0,0,0.69,0.003,0,0.143,0,6,0,1.783,0.044,0,0,0,10,9.695,8.841,5.277,106.62,433.414,European Journal of Mineralogy 1 (1989) 105-121
Diopside,0,0.109,0,0.78,0.088,0,0,0.053,0,0,0,0.835,0.001,0,0.181,0,6,0,1.958,0,0,0,0,10.01,9.693,8.889,5.253,106.34,434.323,American Mineralogist 76 (1991) 1141-1152
Diopside,0,0.426,0,0.631,0,0,0.236,0.059,0,0,0,0.662,0.004,0,0.163,0,6,0,1.777,0.042,0,0,0,10,9.693,8.839,5.279,106.68,433.255,European Journal of Mineralogy 1 (1989) 105-121
Diopside,0,0.444,0,0.637,0.001,0,0.242,0.048,0,0,0,0.647,0.004,0,0.159,0,6,0,1.772,0.046,0,0,0,10,9.693,8.837,5.279,106.66,433.202,European Journal of Mineralogy 1 (1989) 105-121
Diopside,0,0.288,0,0.654,0.041,0,0.102,0.003,0,0,0,0.957,0.004,0,0.078,0,6,0,1.863,0.01,0,0,0,10,9.692,8.853,5.265,106.76,432.564,Physics and Chemistry of Minerals 19 (1992) 213-219
Diopside,0,0.19,0,0.88,0,0,0,0,0,0.12,0,0.83,0,0,0,0,6,0,1.98,0,0,0,0,10,9.6912,8.8986,5.2531,105.99,435.49,American Mineralogist 91 (2006) 802-808
Aegirine,0,0,0,0.189,0,0,0.189,0.811,0,0,0,0,0,0,0.811,0,6,0,2,0,0,0,0,10,9.691,8.837,5.292,106.95,433.54,Mineralogical Magazine 37 (1969) 216-229
Diopside,0,0.445,0,0.62,0.001,0,0.213,0.057,0,0,0,0.721,0.005,0,0.136,0,6,0,1.766,0.036,0,0,0,10,9.69,8.837,5.276,106.71,432.709,European Journal of Mineralogy 1 (1989) 105-121
Diopside,0,0.439,0,0.487,0.002,0,0.207,0.034,0,0,0,0.943,0.006,0,0.08,0,6,0,1.768,0.034,0,0,0,10,9.689,8.824,5.28,107.6,430.287,American Mineralogist 79 (1994) 668-674
Aegirine,0,0,0,0.175,0,0,0.175,0.825,0,0,0,0,0,0,0.825,0,6,0,2,0,0,0,0,10,9.6804,8.8337,5.2831,106.877,432.32,American Mineralogist 91 (2006) 1271-1292
Diopside,0,0.6,0,1,0,0,0,0,0,0,0,0.7,0,0,0,0,6,0,1.7,0,0,0,0,10,9.68,8.828,5.268,106.16,432.39,European Journal of Mineralogy 8 (1996) 273-279
Aegirine,0,0.03,0,0.34,0,0,0,0.52,0,0,0,0.36,0,0.09,0.66,0,6,0,1.99,0.01,0,0,0,10,9.6787,8.8394,5.2755,106.903,431.841,Physics and Chemistry of Minerals 13 (1986) 291-305
Diopside,0,0.192,0,0.708,0.005,0,0.051,0.031,0,0,0,0.821,0,0,0.204,0,6,0,1.981,0.008,0,0,0,10,9.678,8.853,5.255,106.52,431.659,American Mineralogist 76 (1991) 1141-1152
Diopside,0,0.25,0,0.645,0.044,0,0.112,0,0,0,0,0.957,0.002,0,0.094,0,6,0,1.888,0.008,0,0,0,10,9.678,8.836,5.257,106.9,430.137,European Journal of Mineralogy 7 (1995) 141-149
Diopside,0,0.029,0,0.509,0.223,0,0.011,0,0,0,0,0.488,0.001,0,0.491,0,6,0,1.99,0.001,0,0.257,0,10,9.6774,8.8479,5.2662,106.446,432.468,American Mineralogist 87 (2002) 709-714
Diopside,0,0.035,0,0.51,0.247,0,0.007,0,0,0,0,0.484,0.001,0,0.49,0,6,0,1.982,0,0,0.244,0,10,9.6718,8.8412,5.267,106.483,431.874,American Mineralogist 87 (2002) 709-714
Aegirine,0,0,0,0.1,0,0,0.1,0.9,0,0,0,0,0,0,0.9,0,6,0,2,0,0,0,0,10,9.6714,8.8152,5.2926,107.166,431.122,European Journal of Mineralogy 12 (2000) 105-120
Aegirine,0,0,0,0.094,0,0,0.0937,0.9063,0,0,0,0,0,0,0.906,0,6,0,2,0,0,0,0,10,9.671,8.82,5.293,107.21,431.22,Mineralogical Magazine 37 (1969) 216-229
Aegirine,0,0,0,0.102,0,0,0.102,0.898,0,0,0,0,0,0,0.898,0,6,0,2,0,0,0,0,10,9.6666,8.8099,5.2916,107.195,430.5,American Mineralogist 91 (2006) 1271-1292
Aegirine,0,0,0,0.149,0,0,0.149,0.851,0,0,0,0,0,0,0.851,0,6,0,2,0,0,0,0,10,9.6654,8.8184,5.2805,106.976,430.464,American Mineralogist 91 (2006) 1271-1292
Natalyite,0,0.04,0,0.418,0.165,0,0.003,0,0,0,0,0.402,0,0,0.582,0,6,0,1.986,0.001,0,0.403,0,10,9.6631,8.8263,5.2709,106.601,430.814,American Mineralogist 87 (2002) 709-714
Aegirine-augite,0,0,0,0.57,0,0,0,0.49,0,0,0,0.57,0.01,0,0.4,0,6,0,1.97,0.01,0,0,0,10.02,9.663,8.813,5.2184,106.4,426.318,Australian Journal of Mineralogy 14 (2008) 43-45
Aegirine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.6623,8.8,5.2956,107.579,429.248,American Mineralogist 92 (2007) 1492-1501
Diopside,0,0.23,0,0.616,0,0,0.165,0.03,0,0.007,0,0.718,0.008,0,0.235,0,6,0,1.987,0.004,0,0,0,10,9.662,8.841,5.253,106.78,429.614,American Mineralogist 76 (1991) 1141-1152
Diopside,0,0.029,0,0.413,0.298,0,0.011,0,0,0,0,0.388,0.001,0,0.587,0,6,0,1.988,0,0,0.285,0,10,9.6595,8.8263,5.2686,106.596,430.476,American Mineralogist 87 (2002) 709-714
Natalyite,0,0.046,0,0.463,0.238,0,0,0,0,0,0,0.461,0,0,0.537,0,6,0,2,0,0,0.257,0,10,9.6582,8.8273,5.2665,106.577,430.338,American Mineralogist 87 (2002) 709-714
Aegirine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.658,8.795,5.294,107.42,429.059,American Mineralogist 58 (1973) 594-618
Diopside,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,6,0,2,0,0,0,0,10,9.658,8.834,5.263,106.46,430.63,European Journal of Mineralogy 17 (2005) 297-304
Aegirine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.658,8.795,5.294,107.42,429.1,Mineralogical Magazine 37 (1969) 216-229
Diopside,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,6,0,2,0,0,0,0,10,9.656,8.833,5.262,106.5281,430.259,European Journal of Mineralogy 17 (2005) 297-304
Aegirine,0,0,0,0.049,0,0,0.049,0.951,0,0,0,0,0,0,0.951,0,6,0,2,0,0,0,0,10,9.6554,8.7998,5.29,107.304,429.125,American Mineralogist 91 (2006) 1271-1292
Aegirine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.6554,8.7952,5.2942,107.396,429.026,American Mineralogist 91 (2006) 1271-1292
Augite,0,0,0,0.2,0,0,0.36,0,0,0,0,1.44,0,0,0,0,6,0,2,0,0,0,0,10,9.655,8.876,5.201,108.46,422.8,American Mineralogist 58 (1973) 50-59
Aegirine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.6549,8.7947,5.2938,107.394,428.952,European Journal of Mineralogy 12 (2000) 105-120
Aegirine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.6543,8.807,5.2943,107.316,429.748,European Journal of Mineralogy 12 (2000) 105-120
Aegirine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.6539,8.7928,5.2935,107.436,428.692,American Mineralogist 93 (2008) 1829-1837
Augite,0,0,0,0.1,0,0,0.38,0,0,0,0,1.52,0,0,0,0,6,0,2,0,0,0,0,10,9.652,8.872,5.206,108.55,422.6,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,10,9.612,8.765,5.1793,105.32,420.846,American Mineralogist 66 (1981) 315-323
Kushiroite,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,10,9.609,8.652,5.274,106.06,421.353,American Mineralogist 59 (1974) 549-557
Kosmochlor,0,0.033,0,0.055,0.478,0,0.001,0,0,0,0,0.056,0.001,0,0.945,0,6,0,2,0.003,0,0.428,0,10,9.6072,8.7413,5.2771,107.172,423.413,American Mineralogist 87 (2002) 709-714
Jadeite,0,0.52,0,0.47,0,0,0.51,0,0,0,0,0,0,0,0.53,0,6,0,2,0,0,0,0,10.03,9.6031,8.7735,5.2656,106.725,424.874,American Mineralogist 92 (2007) 1492-1501
Jadeite,0,0.52,0,0.47,0,0,0.48,0,0,0,0,0,0,0,0.53,0,6,0,2,0,0,0,0,10,9.6031,8.7735,5.2656,106.725,424.874,American Mineralogist 93 (2008) 1005-1013
Kosmochlor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.579,8.722,5.267,107.37,419.98,American Mineralogist 58 (1973) 594-618
Kosmochlor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.572,8.7094,5.2678,107.498,418.836,American Mineralogist 88 (2003) 1025-1032
Aegirine,0,0.35,0,0,0,0,0,0.65,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.5663,8.704,5.2733,107.6,418.529,American Mineralogist 92 (2007) 1492-1501
Jadeite,0,0.192,0,0.708,0.005,0,0.051,0.031,0,0,0,0.821,0,0,0.204,0,6,0,1.981,0.008,0,0,0,10,9.551,8.724,5.247,106.97,418.159,American Mineralogist 76 (1991) 1141-1152
Kosmochlor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.55,8.712,5.273,107.44,418.6,Mineralogical Society of America Special Paper 2 (1969) 31-50
Jadeite,0,0.666,0,0.459,0,0,0,0.028,0,0,0,0.372,0,0,0.551,0,6,0,1.924,0,0,0,0,10,9.545,8.713,5.246,106.9,417.445,American Mineralogist 76 (1991) 1141-1152
Spodumene,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,10,9.479,8.403,5.223,110.14,390.585,The Canadian Mineralogist 41 (2003) 521-527
Jadeite,0,0.74,0,0,0,0,0,0.26,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.4781,8.618,5.2449,107.57,408.429,American Mineralogist 92 (2007) 1492-1501
Spodumene,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,10,9.474,8.39,5.219,110.07,389.65,Zeitschrift fur Kristallographie 219 (2004) 278-294
Spodumene,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,10,9.463,8.392,5.218,110.15,389.017,American Mineralogist 58 (1973) 594-618
Spodumene,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,10,9.4628,8.3882,5.2186,110.187,388.785,Physics and Chemistry of Minerals 27 (2000) 719-731
Jadeite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.4278,8.5651,5.2262,107.624,402.208,American Mineralogist 92 (2007) 1492-1501
Jadeite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.4278,8.5651,5.2262,107.624,402.208,American Mineralogist 93 (2008) 1005-1013
Jadeite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.4242,8.5657,5.2242,107.578,402.031,American Mineralogist 93 (2008) 198-209
Jadeite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.423,8.564,5.223,107.56,401.848,American Mineralogist 58 (1973) 594-618
Jadeite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.418,8.562,5.219,107.58,401.189,American Mineralogist 51 (1966) 956-975
Hedenbergite,0,0,0,1,0,0,0.67,0,0,0,0,0.17,0.16,0,0,0,6,0,2,0,0,0,0,10,9.8344,9.023,5.237,104.7,449.498,R070236
Johannsenite,0,0,0,1,0,0,0,0,0,0,0,0,1.02,0,0,0,6,0,1.99,0,0,0,0,10.01,9.912,9.122,5.261,104.86,459.776,R150013
Hedenbergite,0,0.014,0,0.993,0,0,0.84,0.02,0,0,0,0.029,0.111,0,0.007,0,6,0,1.986,0,0,0,0,10,9.8416,9.0253,5.252,104.86,450.899,R050030
Hedenbergite,0,0,0,1,0,0,0.89,0,0,0,0,0.09,0.02,0,0,0,6,0,2,0,0,0,0,10,9.846,9.0196,5.255,104.9,450.989,R060040
Johannsenite,0,0.01,0,0.97,0,0,0.04,0,0,0,0,0.11,0.86,0,0.02,0,6,0,1.99,0,0,0,0.02,10.02,9.911,9.106,5.269,105.02,459.279,R140753
Petedunnite,0,0.02,0,0.94,0,0,0.29,0.02,0,0,0,0.21,0.21,0,0,0,6,0,1.98,0,0,0,0.33,10,9.76,8.96,5.223,105.57,439.988,R070207
Diopside,0,0,0,1,0,0,0.01,0,0,0,0,0.66,0.33,0,0,0,6,0,2,0,0,0,0,10,9.8104,8.9909,5.2641,105.618,447.173,R050666
Diopside,0,0.1,0,1,0,0,0.23,0.1,0,0,0,0.66,0.01,0,0,0,6,0,1.9,0,0,0,0,10,9.7738,8.9319,5.2683,105.69,442.778,R050496
Diopside,0,0.04,0,0.95,0,0,0.33,0,0,0,0,0.63,0.01,0,0.04,0,6,0,2,0,0,0,0,10,9.7658,8.941,5.2568,105.696,441.887,R070123
Diopside,0,0.01,0,0.99,0,0,0.06,0,0,0,0,0.92,0.03,0,0,0,6,0,1.99,0,0,0,0,10,9.7636,8.9353,5.2593,105.784,441.525,R060061
Diopside,0,0,0,1,0,0,0,0,0,0,0,0.98,0.02,0,0,0,6,0,2,0,0,0,0,10,9.7564,8.9313,5.2528,105.809,440.402,R060171
Diopside,0,0.05,0,0.95,0,0,0.18,0.05,0,0,0,0.75,0.01,0,0.05,0,6,0,1.96,0.01,0,0,0,10.01,9.7538,8.9225,5.2568,105.845,440.107,R050406
Diopside,0,0.01,0,0.97,0,0,0.04,0,0,0,0,0.97,0,0,0.01,0,6,0,2,0,0,0,0,10,9.7481,8.923,5.2508,105.886,439.283,R040009
Augite,0,0.04,0,0.34,0,0,0.74,0,0,0,0,0.88,0.02,0,0,0,6,0,1.96,0.02,0,0,0,10,9.729,8.915,5.247,106.09,437.266,R070231
Augite,0,0.19,0,0.88,0.01,0,0.13,0,0,0,0,0.83,0,0,0.04,0,6,0,1.89,0.03,0,0,0,10,9.744,8.8954,5.2725,106.098,439.084,R061086
Diopside,0,0.14,0,0.97,0.01,0,0.1,0.04,0,0,0,0.79,0,0,0.03,0,6,0,1.9,0.02,0,0,0,10,9.7395,8.9089,5.2597,106.123,438.425,R060085
Diopside,0,0.33,0,0.72,0,0,0.23,0.02,0,0,0,0.8,0,0,0.05,0,6,0,1.82,0.03,0,0,0,10,9.7197,8.8655,5.2747,106.556,435.677,R060861
Aegirine,0,0,0,0.02,0,0,0,0.96,0,0,0,0,0.03,0,0.98,0,6,0,2,0.01,0,0,0,10,9.682,8.8145,5.306,107.08,432.853,R050074
Aegirine,0,0.06,0,0.04,0,0,0,0.86,0,0,0,0.02,0.06,0,0.96,0,6,0,1.94,0.07,0,0,0,10.01,9.657,8.8002,5.302,107.29,430.222,R040054
Aegirine,0,0.02,0,0,0.01,0,0,0.97,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.64,8.779,5.2873,107.33,427.149,R061093
Aegirine,0,0.07,0,0,0,0,0,0.91,0,0,0,0.01,0,0,1,0,6,0,2,0.01,0,0,0,10,9.369,8.78,5.294,107.42,415.51,R070125
Kosmochlor,0,0,0,0,0.99,0,0,0.01,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.572,8.7094,5.2678,107.498,418.836,R120015
Jadeite,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1.98,0,0,0,0,10,9.4257,8.5684,5.2255,107.565,402.351,R050220
Jadeite,0,0.86,0,0,0.09,0,0,0.05,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,10,9.463,8.606,5.245,107.57,407.219,R070117
Spodumene,0,0.99,0,0,0,0,0,0.01,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,10,9.4739,8.4006,5.2249,110.16,390.355,R060039
Spodumene,0,1,0,0,0,0,0,0,0,0,0.99,0,0,0,0.01,0,6,0,2,0,0,0,0,10,9.4638,8.3909,5.2178,110.168,388.939,R040050
Spodumene,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,10,9.4666,8.3916,5.2199,110.17,389.238,R050252