mineral name,chemistry,Ba,Ca,Fe2+,K,Na,Sr,Al,Si,O,a,b,c,α,β,γ,volume,crystal system,space group,citation text,notes
Anorthite,(Ca0.67Na0.33)(Al1.67Si2.33)O8,0,0.67,0,0,0.33,0,1.67,2.33,8,8.173,12.869,15.2,93.46,116.06,90.54,1338.1,triclinic,I1,Journal of Geophysical Research 121 (2016) 1-13,"Locality: Lake County, Oregon, USA"
Celsian,Ba (Al2 Si2) O8,1,0,0,0,0,0,2,2,8,8.622,13.078,14.411,90,115.1,90,1471.516,monoclinic,I2/c,American Mineralogist 61 (1976) 414-418,
Celsian,Ba1.00Al2.00Si2.00O8,1,0,0,0,0,0,2,2,8,8.6373,13.0487,14.4074,90,115.124,90,1470.168,monoclinic,,R060460,"Locality: Benallt mine, Rhiw, Leyen Peninsula, Caernarvonshire, Wales"
Anorthite,(Sr0.5Ca0.5)Al2Si2O8,0,0.5,0,0,0,0.5,2,2,8,8.303,12.93,14.231,92.09,115.66,91.13,1375.149,triclinic,P1,Naturwissenschaften 56 (1969) 136-136,Synthetic
Anorthite,(Sr0.4Ca0.6)Al2Si2O8,0,0.6,0,0,0,0.4,2,2,8,8.282,12.919,14.221,92.39,115.71,91.18,1368.486,triclinic,P1,Naturwissenschaften 56 (1969) 136-136,Synthetic
Anorthite,(Ca0.501Na0.499)Si2.5Al1.5O8,0,0.501,0,0,0.499,0,1.5,2.5,8,8.1614,12.8545,14.2112,93.5904,116.2504,90.0075,1333.88,triclinic,I1,American Mineralogist 102 (2017) 1328-1339,"Locality: Skaergaard layered intrusion, Sample: SK90-12"
Anorthite,(Ca0.525Na0.475)Si2.475Al1.525O8,0,0.525,0,0,0.475,0,1.525,2.475,8,8.1658,12.8542,14.2096,93.6903,116.2726,89.8088,1334.28,triclinic,I1,American Mineralogist 102 (2017) 1328-1339,"Locality: the collection of Smithsonian National Museum of Natural History, Washington, D.C, Sample: R2923"
Anorthite,(Ca0.60Na0.40)(Al1.60Si2.40)O8,0,0.6,0,0,0.4,0,1.6,2.4,8,8.1717,12.8752,14.2074,93.453,116.078,91.425,1337.98,triclinic,I1,Journal of Geophysical Research 121 (2016) 1-13,"Locality: Pueblo Park, Catron Co., New Mexico, USA"
Anorthite,Na.48 Ca.52 (Si2.5 Al1.5) O8,0,0.52,0,0,0.48,0,1.52,2.48,8,8.176,12.841,14.207,93.53,116.27,89.77,1334.526,triclinic,C1,"Neues Jahrbuch fur Mineralogie, Monatshefte 1976 (1976) 66-69",
Anorthite,(Ca0.72Na0.28)(Al1.72Si2.28)O8,0,0.72,0,0,0.28,0,1.72,2.28,8,8.175,12.873,14.205,93.45,116.09,90.56,1339,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Crystal Bay, Lake Superior, Minnesota, USA. Sample: Crystal Bay"
Anorthite,(Ca0.68Na0.31K0.01)(Al1.68Si2.32)O8,0,0.68,0,0.01,0.31,0,1.68,2.32,8,8.173,12.874,14.205,93.46,116.06,90.51,1339.2,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Lake County, Oregon, USA. Sample: Lake Co"
Anorthite,(Sr0.3Ca0.7)Al2Si2O8,0,0.7,0,0,0,0.3,2,2,8,8.253,12.903,14.204,92.62,115.72,91.21,1359.871,triclinic,P1,Naturwissenschaften 56 (1969) 136-136,Synthetic
Anorthite,(Ca0.524Na0.476)Si2.476Al1.524O8,0,0.524,0,0,0.476,0,1.524,2.476,8,8.1625,12.8586,14.2038,93.554,116.2161,90.159,1334.12,triclinic,I1,American Mineralogist 102 (2017) 1328-1339,"Locality: Duluth Igneous Complex, Sample: Dul-15-8B"
Anorthite,(Ca0.78Na0.22)(Al1.78Si2.22)O8,0,0.78,0,0,0.22,0,1.78,2.22,8,8.179,12.879,14.201,93.45,116.05,90.67,1340.3,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Silver Bay, Lake Superior, Minnesota, USA. Sample: 101377a"
Anorthite,(Ca0.78Na0.22)(Al1.78Si2.22)O8,0,0.78,0,0,0.22,0,1.78,2.22,8,8.18,12.876,14.201,93.46,115.95,90.67,1341.2,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Silver Bay, Lake Superior, Minnesota, USA. Sample: 101377a/1, sample was heat treated for 23 days at 1366 C"
Anorthite,(Ca0.78Na0.22)(Al1.78Si2.22)O8,0,0.78,0,0,0.22,0,1.78,2.22,8,8.1798,12.8761,14.1974,93.423,116.054,90.705,1339.74,triclinic,I1,Journal of Geophysical Research 121 (2016) 1-13,"Locality: Beaver River gabbro, Minnesota, USA"
Anorthite,(Ca0.86Na0.14)(Al1.86Si2.14)O8,0,0.86,0,0,0.14,0,1.86,2.14,8,8.184,12.878,14.197,93.37,116.05,90.83,1340.5,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Viakfontein, Bushveld complex, Transvaal. Sample: 21704a"
Anorthite,(Ca1.72 Na.28) Al3.71 Si4.29 O16,0,0.86,0,0,0.14,0,1.855,2.145,8,8.188,12.822,14.196,93.37,116.04,90.87,1335.384,triclinic,P1,Zeitschrift fur Kristallographie 169 (1984) 35-49,"Locality: Traversella stock, Sesia Lanzo zone, Western Alps, Italy"
Anorthite,(Ca0.86Na0.14)(Al1.86Si2.14)O8,0,0.86,0,0,0.14,0,1.86,2.14,8,8.181,12.878,14.193,93.38,115.92,90.85,1341.2,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Viakfontein, Bushveld complex, Transvaal. Sample: 21704a/1, sample was heat treated for 23 days at 1366 C"
Anorthite,(Sr0.2Ca0.8)Al2Si2O8,0,0.8,0,0,0,0.2,2,2,8,8.229,12.894,14.191,92.81,115.78,91.24,1352.691,triclinic,P1,Naturwissenschaften 56 (1969) 136-136,Synthetic
Anorthite,(Ca0.89Na0.11)(Al1.89Si2.11)O8,0,0.89,0,0,0.11,0,1.89,2.11,8,8.181,12.876,14.188,93.32,116.01,90.94,1339.5,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Sittampundi, Madras. Sample: 87975a"
Anorthite,(Ca0.89Na0.11)(Al1.89Si2.11)O8,0,0.89,0,0,0.11,0,1.89,2.11,8,8.181,12.873,14.187,93.35,115.88,90.99,1340.6,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Sittampundi, Madras. Sample: 87975a/1, sample was heat treated for 21 days at 1300 C"
Anorthite,(Ca3.44 Na.56) Al7.76 Si8.24 O32,0,0.85,0.01,0.01,0.11,0,1.84,2.16,8,8.183,12.883,14.186,93.38,115.87,90.82,1341.964,triclinic,P1,Acta Crystallographica B35 (1979) 34-42,"Locality: satellite dyke, Traversella stock, Sesia Lanzo zone, Western Alps, Italy"
Anorthite,(Ca0.96Na0.04)(Al1.96Si2.04)O8,0,0.96,0,0,0.04,0,1.96,2.04,8,8.179,12.876,14.18,93.18,115.92,91.17,1339.5,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,Locality: S. of Blantyre Nyasaland. Sample: 115082a
Anorthite,(Ca0.98Na0.02)(Al1.98Si2.02)O8,0,0.98,0,0,0.02,0,1.98,2.02,8,8.18,12.878,14.18,93.15,115.89,91.23,1340.2,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Vesuvius, Italy. Sample: Monte Somma/2, sample was heat treated for 21 days at 1360 C"
Anorthite,(Ca0.96Na0.04)(Al1.96Si2.04)O8,0,0.96,0,0,0.04,0,1.96,2.04,8,8.185,12.878,14.18,93.23,115.84,91.18,1341.4,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: S. of Blantyre Nyasaland. Sample: 115082a/1, sample heat treated for 21 days at 1306 C"
Anorthite,(Sr0.1Ca0.9)Al2Si2O8,0,0.9,0,0,0,0.1,2,2,8,8.203,12.881,14.18,92.99,115.77,91.25,1345.801,triclinic,P1,Naturwissenschaften 56 (1969) 136-136,Synthetic
Anorthite,(Ca0.98Na0.02)(Al1.98Si2.02)O8,0,0.98,0,0,0.02,0,1.98,2.02,8,8.183,12.874,14.178,93.19,115.85,91.22,1340.3,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Vesuvius, Italy. Sample: Monte Somma"
Anorthite,(Ca0.94Na0.04Fe0.02)(Al0.98Si0.02)2Si2.00O8,0,0.94,0.02,0,0.04,0,1.96,2.04,8,8.182,12.8751,14.177,93.21,115.84,91.2,1340.32,triclinic,,R040059,"Locality: Miyakejima, Japan"
Anorthite,(Ca0.96Na0.04)(Al1.96Si2.04)O8,0,0.96,0,0,0.04,0,1.96,2.04,8,8.1789,12.8717,14.1765,93.194,115.893,91.195,1338.84,triclinic,P1,Journal of Geophysical Research 121 (2016) 1-13,"Locality: Miyake, Japan"
Anorthite,Ca.5 Si Al O4,0,1,0,0,0,0,2,2,8,8.178,12.87,14.175,93.17,115.97,91.15,1337.598,triclinic,I1,American Mineralogist 75 (1990) 150-162,"Locality: South of Blantyre, Nyasalad (Malawi)"
Anorthite,CaAl2Si2O8,0,1,0,0,0,0,2,2,8,8.176,12.876,14.175,93.11,115.89,91.28,1338.7,triclinic,I1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Pasmeda Alp, Fassa Valley, Austria. Sample: Pasmeda"
Anorthite,Ca Si2 Al2 O8,0,1,0,0,0,0,2,2,8,8.1796,12.8747,14.172,93.134,115.885,91.236,1338.993,triclinic,P1,American Mineralogist 75 (1990) 150-162,"Locality: Monte Somma, Italy"
Anorthite,Ca Si2 Al2 O8,0,1,0,0,0,0,2,2,8,8.175,12.873,14.17,93.11,115.89,91.28,1337.803,triclinic,P1,American Mineralogist 75 (1990) 150-162,"Locality: Val Pasmeda, Austria"
Anorthite,Ca Si2 Al2 O8,0,1,0,0,0,0,2,2,8,8.173,12.869,14.165,93.113,115.913,91.261,1336.346,triclinic,P1,Zeitschrift fur Kristallographie 133 (1971) 75-84,
Anorthite,CaAl2Si2O8,0,1,0,0,0,0,2,2,8,8.181,12.869,14.162,93.2,115.78,91.24,1338.753,triclinic,P1,Naturwissenschaften 56 (1969) 136-136,Synthetic