Sample,a,sig_a,b,sig_b,c,sig_c,beta,sig_beta,V,sig_V
Rocknest,9.651,0.015,8.942,0.018,5.235,0.021,108.35,0.08,428.9,2.2
Gobabeb,9.675,0.022,8.941,0.027,5.254,0.029,108.69,0.14,430.6,2.5
John Klein,9.686,0.02,8.917,0.018,5.208,0.019,108.57,0.14,426.5,1.9
Cumberland,9.68,0.019,8.925,0.02,5.22,0.021,108.53,0.1,427.7,2.2
Windjana,9.648,0.016,8.895,0.029,5.21,0.016,108.58,0.21,423.9,1.9
Confidence Hills,9.648,0.025,8.927,0.046,5.207,0.025,108.6,0.18,425.1,1.2
Mojave2,9.67,0.031,8.921,0.044,5.196,0.048,108.66,0.53,424.7,1.4
Telegraph Peak,9.67,0.04,8.926,0.057,5.194,0.038,108.62,0.29,425,1.5
Big Sky,9.672,0.009,8.886,0.01,5.222,0.009,108.56,0.04,425.4,1
Lubango,9.673,0.03,8.889,0.027,5.213,0.03,108.28,0.14,425.7,3
Okoruso,9.667,0.007,8.891,0.008,5.217,0.008,108.51,0.03,425.3,0.8
Ogunquit Beach,9.677,0.04,8.908,0.04,5.246,0.03,108.58,0.3,428.6,1.2